['INFO ]2023-07-27 14:29:56,612(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*************Getting all records***************
['INFO ]2023-07-27 14:29:57,540(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-In the Given by proram Id
['INFO ]2023-07-27 14:29:57,551(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*************Getting all records***************
['INFO ]2023-07-27 14:29:57,552(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-In the Given by proram Id
['INFO ]2023-07-27 14:29:57,554(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*************Getting all records***************
['INFO ]2023-07-27 14:29:59,249(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-io.restassured.internal.RestAssuredResponseImpl@66f2ec1c
['INFO ]2023-07-27 14:29:59,397(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*************Getting all records***************
['INFO ]2023-07-27 14:29:59,400(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-In the Given by proram Id
['INFO ]2023-07-27 14:29:59,402(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*************POSt request***************
['INFO ]2023-07-27 14:29:59,701(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-io.restassured.internal.RestAssuredResponseImpl@542c65d9
['INFO ]2023-07-27 14:29:59,746(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*************Getting all records***************
['INFO ]2023-07-27 14:29:59,747(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-In the Given by proram Id
['INFO ]2023-07-27 14:29:59,754(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*************GET program byId***************
['INFO ]2023-07-27 14:30:00,023(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-io.restassured.internal.RestAssuredResponseImpl@c11332b
['INFO ]2023-07-27 14:30:00,101(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*************Getting all records***************
['INFO ]2023-07-27 14:30:00,102(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-In the Given by proram Id
['INFO ]2023-07-27 14:30:00,105(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-************PUT program byId***************
['INFO ]2023-07-27 14:30:00,378(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-io.restassured.internal.RestAssuredResponseImpl@631bc9f4
['INFO ]2023-07-27 14:30:00,408(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*************Getting all records***************
['INFO ]2023-07-27 14:30:00,410(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-In the Given by proram Id
['INFO ]2023-07-27 14:30:00,413(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-************PUT program BY NAME ***************
['INFO ]2023-07-27 14:30:00,653(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-io.restassured.internal.RestAssuredResponseImpl@8f6b4ab
['INFO ]2023-07-27 14:30:00,679(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*************Getting all records***************
['INFO ]2023-07-27 14:30:00,680(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-In the Given by proram Id
['INFO ]2023-07-27 14:30:00,681(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-************POST second program ***************
['INFO ]2023-07-27 14:30:00,911(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-io.restassured.internal.RestAssuredResponseImpl@7645e64
['INFO ]2023-07-27 14:30:01,685(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*********************** Creating Batch **************************
['INFO ]2023-07-27 14:30:03,026(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*********************** Batch is Created ***********************
['INFO ]2023-07-27 14:30:03,027(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-{"batchId":9788,"batchName":"Jul23_ApiTrekkers-SDET-Team13-504456696","batchDescription":"selenium","batchStatus":"Active","batchNoOfClasses":10,"programId":17055,"programName":"July23_Api-Trekkers_SDET_555"}
['INFO ]2023-07-27 14:30:03,034(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*********************** status is been verified ****************
['INFO ]2023-07-27 14:30:03,058(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*********************** Retrieving All Batches *************
['INFO ]2023-07-27 14:30:04,192(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)------status is verified------
['INFO ]2023-07-27 14:30:04,218(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*********************** Retriving Batch *************
['INFO ]2023-07-27 14:30:05,466(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-io.restassured.internal.RestAssuredResponseImpl@3a66d97e
['INFO ]2023-07-27 14:30:05,469(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)------status is verified------
['INFO ]2023-07-27 14:30:05,486(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*********************** Retrieving Batch *************
['INFO ]2023-07-27 14:30:05,719(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-io.restassured.internal.RestAssuredResponseImpl@74cff17c
